iter	Passed	Remaining
0	2	221
1	4	196
2	6	198
3	8	194
4	9	188
5	11	180
6	13	182
7	15	176
8	16	171
9	18	167
10	20	163
11	22	161
12	23	158
13	25	156
14	27	154
15	29	153
16	30	151
17	32	148
18	34	147
19	36	144
20	37	142
21	39	141
22	41	139
23	43	138
24	46	139
25	48	138
26	50	136
27	53	136
28	55	135
29	57	133
30	59	132
31	61	130
32	63	129
33	65	127
34	68	126
35	70	125
36	72	123
37	74	121
38	76	119
39	78	117
40	80	115
41	82	113
42	84	112
43	86	110
44	88	108
45	90	106
46	92	104
47	94	102
48	96	100
49	98	98
50	100	96
51	102	94
52	104	92
53	106	91
54	109	89
55	111	87
56	113	85
57	114	83
58	116	80
59	118	78
60	120	76
61	122	74
62	124	73
63	127	71
64	129	69
65	131	67
66	133	65
67	135	63
68	136	61
69	138	59
70	140	57
71	142	55
72	144	53
73	146	51
74	148	49
75	150	47
76	152	45
77	154	43
78	156	41
79	157	39
80	159	37
81	161	35
82	163	33
83	165	31
84	166	29
85	168	27
86	170	25
87	173	23
88	174	21
89	176	19
90	178	17
91	179	15
92	181	13
93	183	11
94	185	9
95	187	7
96	190	5
97	192	3
98	194	1
99	195	0
